B1,B2,B3,B4,B5,B6,B7,classvalue,sample
0.0537,0.0522,0.0694,0.0607,0.0731,0.0436,0.0454,1,train
0.1035,0.1309,0.1608,0.1713,0.2078,0.208,0.216,1,train
0.1035,0.1637,0.1932,0.216,0.2448,0.2427,0.2437,1,train
0.1471,0.1658,0.1957,0.2167,0.2371,0.2275,0.2389,1,train
0.1471,0.1655,0.1949,0.2139,0.2335,0.2268,0.2303,1,train
0.1484,0.1669,0.1965,0.2209,0.2343,0.2258,0.2291,1,train
0.1484,0.1772,0.2047,0.225,0.2454,0.2333,0.2399,1,train
0.1363,0.1531,0.1801,0.1821,0.1966,0.1593,0.1805,1,train
0.1363,0.1297,0.152,0.1484,0.1539,0.1167,0.1139,1,train
0.0979,0.0912,0.109,0.0903,0.087,0.0562,0.0533,1,train
0.0979,0.0847,0.0979,0.0684,0.0648,0.04,0.0379,1,train
0.066,0.074,0.0891,0.057,0.0518,0.0321,0.0332,1,train
0.066,0.0727,0.0865,0.0504,0.0473,0.0301,0.0311,1,train
0.0628,0.0696,0.0811,0.0444,0.0407,0.03,0.0296,1,train
0.0628,0.0703,0.078,0.0436,0.0391,0.03,0.0287,1,train
0.0612,0.0691,0.0779,0.0416,0.0406,0.0306,0.0323,1,train
0.0612,0.0694,0.0781,0.0439,0.0403,0.0315,0.0313,1,train
0.0598,0.0676,0.0783,0.0429,0.0411,0.0315,0.0308,1,train
0.0598,0.0719,0.0785,0.0441,0.0403,0.0299,0.0301,1,train
0.0626,0.0686,0.0754,0.0448,0.0398,0.0318,0.0315,1,train
0.0626,0.0716,0.0778,0.0419,0.0386,0.0275,0.0295,1,train
0.061,0.0716,0.0787,0.0407,0.0385,0.0291,0.0304,1,train
0.061,0.0695,0.0761,0.0397,0.0385,0.0278,0.0293,1,train
0.0584,0.0688,0.0743,0.0378,0.0368,0.0283,0.0269,1,train
0.064,0.0571,0.076,0.0723,0.093,0.0724,0.0733,1,train
0.1183,0.1456,0.1729,0.1954,0.2222,0.2233,0.2261,1,train
0.1183,0.1576,0.1857,0.208,0.2291,0.2265,0.2326,1,train
0.1441,0.1609,0.1931,0.2115,0.2346,0.2248,0.2294,1,train
0.1441,0.1672,0.198,0.2179,0.2356,0.2272,0.2322,1,train
0.1435,0.1615,0.1943,0.2121,0.2303,0.22,0.2265,1,train
0.1435,0.1636,0.1942,0.211,0.2352,0.2226,0.2294,1,train
0.1344,0.1344,0.1675,0.1634,0.1778,0.1379,0.1453,1,train
0.1344,0.1353,0.1548,0.1616,0.1476,0.1084,0.1123,1,train
0.0917,0.0895,0.1072,0.0854,0.0828,0.0456,0.0496,1,train
0.0917,0.0832,0.0971,0.0672,0.0715,0.0465,0.0463,1,train
0.0656,0.0747,0.0868,0.0556,0.0536,0.0315,0.0309,1,train
0.0656,0.0713,0.0828,0.0515,0.046,0.0307,0.0301,1,train
0.0616,0.0676,0.0795,0.0453,0.0417,0.0317,0.0314,1,train
0.0616,0.0692,0.0784,0.0453,0.0408,0.0312,0.0306,1,train
0.0605,0.0689,0.075,0.0409,0.0397,0.0275,0.0292,1,train
0.0605,0.0683,0.0759,0.0412,0.0394,0.0297,0.0287,1,train
0.0598,0.0681,0.076,0.0424,0.0398,0.0302,0.0311,1,train
0.0598,0.0672,0.0765,0.0429,0.0388,0.027,0.0286,1,train
0.0582,0.0679,0.0756,0.0456,0.0392,0.031,0.0299,1,train
0.0582,0.0676,0.0783,0.0427,0.0371,0.0285,0.0295,1,train
0.0578,0.0682,0.0784,0.0401,0.039,0.0298,0.0307,1,train
0.0578,0.0681,0.0754,0.0413,0.0382,0.0298,0.0299,1,train
0.0575,0.0681,0.0779,0.0401,0.0378,0.0286,0.0301,1,train
0.0575,0.0655,0.0738,0.0401,0.0372,0.0319,0.0336,1,train
0.1183,0.1175,0.1488,0.1699,0.1905,0.1895,0.1889,1,train
0.1183,0.1502,0.1807,0.2056,0.2248,0.2212,0.218,1,train
0.1183,0.1638,0.1935,0.2183,0.2392,0.2341,0.2381,1,train
0.1441,0.1553,0.182,0.2036,0.222,0.2176,0.2233,1,train
0.1441,0.1597,0.196,0.2155,0.2278,0.2202,0.2257,1,train
0.1435,0.1632,0.1897,0.2101,0.2229,0.22,0.2192,1,train
0.1435,0.1596,0.192,0.2093,0.2294,0.2261,0.2239,1,train
0.1344,0.1334,0.1634,0.1592,0.1684,0.1263,0.1286,1,train
0.1344,0.1477,0.1732,0.1549,0.1669,0.1126,0.1145,1,train
0.0917,0.1009,0.118,0.0877,0.0763,0.0525,0.05,1,train
0.0917,0.0837,0.099,0.0665,0.0689,0.0442,0.0471,1,train
0.0656,0.0743,0.0867,0.0564,0.0523,0.0314,0.0301,1,train
0.0656,0.072,0.0833,0.0514,0.0473,0.0298,0.0303,1,train
0.0616,0.0679,0.08,0.047,0.0423,0.0307,0.0301,1,train
0.0616,0.0714,0.0794,0.0439,0.0411,0.0314,0.0307,1,train
0.0605,0.0699,0.0747,0.0403,0.0403,0.0274,0.0283,1,train
0.0605,0.0673,0.0749,0.0409,0.04,0.0284,0.0292,1,train
0.0598,0.0675,0.0757,0.0422,0.0396,0.0308,0.03,1,train
